fecha,tweet,sentimiento,sentimiento_original,tweet_limpio
2009-06-16 18:18:12,@chrishasboobs AHHH I HOPE YOUR OK!!! ,0,negativo,AHHH I HOPE YOUR OK!!!
2009-04-06 23:11:14,"@misstoriblack cool , i have no tweet apps  for my razr 2",0,negativo,"cool , i have no tweet apps for my razr 2"
2009-06-23 13:40:11,"@TiannaChaos i know  just family drama. its lame.hey next time u hang out with kim n u guys like have a sleepover or whatever, ill call u",0,negativo,"i know just family drama. its lame.hey next time u hang out with kim n u guys like have a sleepover or whatever, ill call u"
2009-06-01 10:26:07,School email won't open  and I have geography stuff on there to revise! *Stupid School* :'(,0,negativo,School email won't open and I have geography stuff on there to revise! *Stupid School* :'(
2009-06-20 12:56:51,upper airways problem ,0,negativo,upper airways problem
2009-06-06 00:32:16,Going to miss Pastor's sermon on Faith... ,0,negativo,Going to miss Pastor's sermon on Faith...
2009-05-31 13:10:36,on lunch....dj should come eat with me ,4,positivo,on lunch....dj should come eat with me
2009-06-19 16:11:29,@piginthepoke oh why are you feeling like that? ,0,negativo,oh why are you feeling like that?
2009-05-11 22:01:32,gahh noo!peyton needs to live!this is horrible ,0,negativo,gahh noo!peyton needs to live!this is horrible
2009-05-30 03:39:34,@mrstessyman thank you glad you like it! There is a product review bit on the site  Enjoy knitting it!,4,positivo,thank you glad you like it! There is a product review bit on the site Enjoy knitting it!
2009-06-05 23:59:27,@PerezHilton Zach makes me pee sitting down! And I'm a grown gay man! ,4,positivo,Zach makes me pee sitting down! And I'm a grown gay man!
2009-06-01 08:29:05,to sum up my day in one word ......... kackered! ,4,positivo,to sum up my day in one word ......... kackered!
2009-06-07 16:46:29,@k9wkj Great minds think alike ,4,positivo,Great minds think alike
2009-06-17 03:00:02,Is Poorly and in bed! ,0,negativo,Is Poorly and in bed!
2009-04-18 14:39:59,"@LilPecan Oh, that's really great  Here we have a small blizzard and also cold wind blows...",4,positivo,"Oh, that's really great Here we have a small blizzard and also cold wind blows..."
2009-05-18 03:32:38,"@wizely lol, calm down.  i got a 30day loan offer for only 1500% ",4,positivo,"lol, calm down. i got a 30day loan offer for only 1500%"
2009-06-16 03:39:22,"i'm feeling quite sleepy today, wish i could stay in bed today...but OK! is my LAST YEAR, so let's go to school ",4,positivo,"i'm feeling quite sleepy today, wish i could stay in bed today...but OK! is my LAST YEAR, so let's go to school"
